"","name","psych_b_CrI","psych_irr_CrI","phys_b_CrI","phys_or_CrI","sgm_b_CrI","sgm_or_CrI"
"1","b1_Intercept","2.10 [1.83, 2.35]","8.20 [6.24, 10.53]","-2.55 [-3.35, -1.90]","0.08 [0.04, 0.15]","-2.15 [-2.82, -1.64]","0.12 [0.06, 0.19]"
"2","b2_Actor_IS","0.30 [0.13, 0.50]","1.36 [1.13,  1.64]"," 0.21 [-0.33,  0.76]","1.24 [0.72, 2.14]"," 0.25 [-0.12,  0.60]","1.29 [0.89, 1.82]"
"3","b3_Partner_IS","0.24 [0.06, 0.43]","1.27 [1.07,  1.54]"," 0.35 [-0.15,  0.88]","1.42 [0.86, 2.42]"," 0.57 [ 0.23,  0.92]","1.77 [1.26, 2.50]"
"4","b1_Intercept"," 2.07 [ 1.74, 2.38]","7.89 [5.67, 10.84]","-2.17 [-3.06, -1.35]","0.11 [0.05, 0.26]","-2.00 [-2.77, -1.32]","0.14 [0.06, 0.27]"
"5","b2_Actor_IS"," 0.29 [ 0.11, 0.48]","1.34 [1.12,  1.61]"," 0.22 [-0.33,  0.78]","1.25 [0.72, 2.17]"," 0.25 [-0.13,  0.63]","1.28 [0.87, 1.88]"
"6","b3_Partner_IS"," 0.22 [ 0.04, 0.41]","1.25 [1.04,  1.50]"," 0.35 [-0.20,  0.89]","1.41 [0.82, 2.43]"," 0.57 [ 0.22,  0.97]","1.77 [1.25, 2.64]"
"7","b4_age"," 0.04 [-0.13, 0.23]","1.05 [0.88,  1.25]","-0.08 [-0.66,  0.49]","0.92 [0.52, 1.63]","-0.08 [-0.52,  0.35]","0.92 [0.59, 1.41]"
"8","b5_length"," 0.27 [ 0.00, 0.53]","1.31 [1.00,  1.69]"," 0.30 [-0.29,  0.86]","1.36 [0.75, 2.36]"," 0.02 [-0.42,  0.47]","1.02 [0.65, 1.60]"
"9","b6_sxlorx","-0.03 [-0.25, 0.20]","0.97 [0.78,  1.22]","-0.60 [-1.27,  0.07]","0.55 [0.28, 1.07]","-0.27 [-0.88,  0.32]","0.76 [0.41, 1.38]"
"10","b7_cism"," 0.12 [-0.26, 0.49]","1.12 [0.77,  1.63]","-0.08 [-0.79,  0.64]","0.93 [0.45, 1.89]","-0.24 [-0.89,  0.39]","0.79 [0.41, 1.47]"
"11","b8_gd"," 0.08 [-0.17, 0.33]","1.08 [0.84,  1.39]","-0.33 [-1.05,  0.35]","0.72 [0.35, 1.42]","-0.41 [-1.08,  0.25]","0.66 [0.34, 1.29]"
"12","b9_poc"," 0.05 [-0.18, 0.28]","1.05 [0.84,  1.32]","-0.33 [-1.01,  0.35]","0.72 [0.37, 1.42]"," 0.13 [-0.52,  0.75]","1.14 [0.59, 2.11]"
