"","name","actorNA_life","partnerNA_life","actorNA_disc","partnerNA_disc"
"1","b1_ActorIS","0.14 [ 0.02, 0.26]","0.01 [-0.11, 0.14]","0.27 [ 0.15, 0.39]","0.05 [-0.06, 0.18]"
"2","b2_PartnerIS","0.00 [-0.12, 0.13]","0.13 [ 0.01, 0.26]","0.05 [-0.08, 0.17]","0.26 [ 0.14, 0.38]"
"3","b1_ActorIS"," 0.05 [-0.08,  0.18]","-0.03 [-0.16,  0.11]"," 0.21 [ 0.08,  0.34]"," 0.04 [-0.09, 0.17]"
"4","b2_PartnerIS","-0.04 [-0.16,  0.08]"," 0.11 [-0.02,  0.24]"," 0.03 [-0.09,  0.16]"," 0.23 [ 0.10, 0.36]"
"5","b3_CSI","-0.29 [-0.43, -0.15]","-0.13 [-0.27,  0.02]","-0.16 [-0.29, -0.03]","-0.07 [-0.21, 0.07]"
"6","b4_DC","-0.19 [-0.32, -0.06]","-0.21 [-0.34, -0.08]","-0.04 [-0.20,  0.13]","-0.07 [-0.23, 0.09]"
"7","b5_order","-0.02 [-0.29,  0.24]"," 0.06 [-0.21,  0.34]"," 0.23 [-0.05,  0.50]"," 0.28 [ 0.01, 0.55]"
"8","b6_type","-0.16 [-0.55,  0.24]","-0.18 [-0.57,  0.22]","-0.01 [-0.28,  0.26]"," 0.02 [-0.26, 0.29]"
"9","b7_sev","-0.09 [-0.33,  0.15]","-0.08 [-0.33,  0.16]"," 0.11 [-0.04,  0.26]"," 0.11 [-0.04, 0.26]"
"10","b8_choice"," 0.29 [ 0.07,  0.51]","-0.29 [-0.52, -0.06]"," 0.16 [-0.06,  0.37]","-0.18 [-0.39, 0.05]"
