"","name","psych_b_CrI","psych_irr_CrI","phys_b_CrI","phys_or_CrI","sgm_b_CrI","sgm_or_CrI"
"1","b1_Intercept"," 2.13 [ 1.88,  2.40]"," 8.45 [ 6.56, 10.97]","-2.68 [-3.56, -1.95]"," 0.07 [ 0.03,  0.14]","-2.44 [-3.16, -1.87]"," 0.09 [ 0.04,  0.15]"
"2","b2_Actor_IS"," 0.27 [ 0.08,  0.46]"," 1.30 [ 1.09,  1.58]"," 0.15 [-0.47,  0.75]"," 1.16 [ 0.63,  2.12]"," 0.13 [-0.27,  0.50]"," 1.14 [ 0.76,  1.65]"
"3","b3_Partner_IS"," 0.19 [ 0.01,  0.38]"," 1.21 [ 1.01,  1.46]"," 0.23 [-0.35,  0.82]"," 1.26 [ 0.70,  2.27]"," 0.46 [ 0.08,  0.84]"," 1.59 [ 1.08,  2.33]"
"4","b4_ActorNA_life"," 0.34 [ 0.12,  0.55]"," 1.40 [ 1.13,  1.72]"," 0.27 [-0.41,  1.03]"," 1.31 [ 0.66,  2.79]"," 0.30 [-0.18,  0.80]"," 1.35 [ 0.83,  2.22]"
"5","b5_PartnerNA_life"," 0.40 [ 0.19,  0.61]"," 1.50 [ 1.21,  1.85]"," 0.66 [-0.01,  1.39]"," 1.93 [ 0.99,  4.00]"," 0.38 [-0.09,  0.89]"," 1.46 [ 0.91,  2.43]"
"6","b6_ActorNA_disc","-0.10 [-0.32,  0.12]"," 0.90 [ 0.72,  1.13]"," 0.03 [-0.74,  0.80]"," 1.03 [ 0.48,  2.23]"," 0.35 [-0.14,  0.86]"," 1.42 [ 0.87,  2.37]"
"7","b7_PartnerNA_disc","-0.08 [-0.30,  0.15]"," 0.93 [ 0.74,  1.16]"," 0.29 [-0.46,  1.05]"," 1.33 [ 0.63,  2.84]"," 0.56 [ 0.06,  1.14]"," 1.75 [ 1.07,  3.12]"
"8","b01_Intercept"," 2.03 [ 1.70,  2.35]"," 7.63 [ 5.49, 10.50]","-2.23 [-3.19, -1.32]"," 0.11 [ 0.04,  0.27]","-2.21 [-3.05, -1.51]"," 0.11 [ 0.05,  0.22]"
"9","b02_Actor_IS"," 0.29 [ 0.10,  0.48]"," 1.33 [ 1.10,  1.61]"," 0.02 [-0.62,  0.65]"," 1.02 [ 0.54,  1.92]"," 0.05 [-0.38,  0.48]"," 1.06 [ 0.68,  1.61]"
"10","b03_Partner_IS"," 0.19 [ 0.00,  0.38]"," 1.21 [ 1.00,  1.47]"," 0.14 [-0.47,  0.78]"," 1.15 [ 0.62,  2.18]"," 0.41 [ 0.00,  0.83]"," 1.51 [ 1.00,  2.29]"
"11","b04_ActorNA_life"," 0.42 [ 0.20,  0.63]"," 1.52 [ 1.23,  1.88]"," 0.38 [-0.40,  1.16]"," 1.47 [ 0.67,  3.20]"," 0.34 [-0.18,  0.90]"," 1.40 [ 0.84,  2.47]"
"12","b05_PartnerNA_life"," 0.47 [ 0.27,  0.69]"," 1.61 [ 1.31,  1.98]"," 0.72 [ 0.00,  1.47]"," 2.05 [ 1.00,  4.36]"," 0.39 [-0.12,  0.97]"," 1.47 [ 0.89,  2.64]"
"13","b06_ActorNA_disc","-0.21 [-0.45,  0.03]"," 0.81 [ 0.64,  1.03]"," 0.10 [-0.70,  0.92]"," 1.10 [ 0.50,  2.50]"," 0.47 [-0.11,  1.06]"," 1.59 [ 0.89,  2.88]"
"14","b07_PartnerNA_disc","-0.16 [-0.40,  0.07]"," 0.85 [ 0.67,  1.07]"," 0.40 [-0.39,  1.22]"," 1.50 [ 0.68,  3.38]"," 0.72 [ 0.14,  1.38]"," 2.06 [ 1.15,  3.99]"
"15","b08_age"," 0.08 [-0.11,  0.27]"," 1.08 [ 0.90,  1.31]","-0.03 [-0.64,  0.56]"," 0.97 [ 0.53,  1.75]"," 0.04 [-0.47,  0.51]"," 1.04 [ 0.62,  1.67]"
"16","b09_length"," 0.30 [ 0.04,  0.55]"," 1.35 [ 1.04,  1.74]"," 0.21 [-0.40,  0.80]"," 1.24 [ 0.67,  2.21]","-0.15 [-0.62,  0.34]"," 0.86 [ 0.54,  1.40]"
"17","b10_sxlorx","-0.07 [-0.32,  0.17]"," 0.93 [ 0.73,  1.19]","-0.61 [-1.30,  0.07]"," 0.55 [ 0.27,  1.07]","-0.38 [-1.02,  0.26]"," 0.68 [ 0.36,  1.30]"
"18","b11_cism"," 0.12 [-0.24,  0.49]"," 1.13 [ 0.79,  1.64]","-0.20 [-0.93,  0.54]"," 0.82 [ 0.39,  1.72]","-0.22 [-0.86,  0.43]"," 0.80 [ 0.42,  1.54]"
"19","b12_gd"," 0.06 [-0.21,  0.33]"," 1.06 [ 0.81,  1.39]","-0.26 [-0.96,  0.47]"," 0.77 [ 0.38,  1.59]","-0.30 [-0.97,  0.38]"," 0.74 [ 0.38,  1.47]"
"20","b13_poc"," 0.08 [-0.16,  0.33]"," 1.09 [ 0.85,  1.39]","-0.36 [-1.09,  0.33]"," 0.70 [ 0.34,  1.39]"," 0.22 [-0.43,  0.85]"," 1.24 [ 0.65,  2.33]"
